FemaleFrequency,MaleFrequency
0.00904,0.00208
0.00694,0.0016
0.00136,0.00031
0.00341,0.00078
0.00233,0.00054
0.00159,0.00037
0.00212,0.00049
0.00262,6.00E-04
0,0
0.00566,0.0013
0.00058,0.00013
0,0
0.00128,3.00E-04
0.00292,0.00067
0.00086,2.00E-04
0.00021,5.00E-05
0.00875,0.00202
0.00395,0.00091
0.00012,3.00E-05
0.00068,0.00016
0.00549,0.00126
0.01955,0.0045
0.00241,0.00055
0.00233,0.00054
0.00337,0.00078
0.02795,0.00643
0.00204,0.00047
0.00233,0.00054
0.00567,0.0013
0.00423,0.00097
0.00207,0.00048
0.00175,4.00E-04
0.01957,0.00451
0.01504,0.00346
0.00233,0.00054
0.00175,4.00E-04
0.00472,0.00109
9.00E-05,2.00E-05
0.16901,0.03891
0.00011,3.00E-05
0.01085,0.0025
0.00671,0.00154
0.00379,0.00087
0.0088,0.00203
0.00668,0.00154
0.00026,6.00E-05
0.0086,0.00198
0.00321,0.00074
0.01458,0.00336
0.00263,6.00E-04
0.02294,0.00528
0.00175,4.00E-04
0.03697,0.00851
0.05477,0.01261
0.00051,0.00012
0.00113,0.00026
0.00708,0.00163
0.00307,0.00071
0.00103,0.00024
0.00622,0.00143
0.00207,0.00048
0,0
0.00263,6.00E-04
0.00106,0.00024
0.00934,0.00215
0.00802,0.00185
0.01153,0.00265
0.00263,6.00E-04
0.06261,0.01442
0.00351,0.00081
0.00018,4.00E-05
0.00292,0.00067
0.00175,4.00E-04
0.00181,0.00042
0.0249,0.00573
0.03123,0.00719
0.00068,0.00016
0.00263,6.00E-04
4.00E-04,9.00E-05
0.00233,0.00054
0.00454,0.00104
0.00045,1.00E-04
0.01838,0.00423
0.00025,6.00E-05
0.00755,0.00174
0.00263,6.00E-04
0,0
0.00026,6.00E-05
0.01836,0.00423
0.00012,3.00E-05
0.00583,0.00134
0.03804,0.00876
0.00112,0.00026
0.00612,0.00141
0.00019,4.00E-05
0.00275,0.00063
0.0146,0.00336
0.01141,0.00263
0.00524,0.00121
0.00175,4.00E-04
0.00175,4.00E-04
0.00027,6.00E-05
0.00263,6.00E-04
0.00467,0.00107
0.00145,0.00033
0.00047,0.00011
0.00175,4.00E-04
0.00263,6.00E-04
0.00175,4.00E-04
0.00108,0.00025
0.0035,0.00081
0.00175,4.00E-04
0.0068,0.00156
0.00046,0.00011
0.00233,0.00054
0.00232,0.00053
0.00292,0.00067
0.00233,0.00054
0.00094,0.00022
0.00233,0.00054
0.05597,0.01289
0.00026,6.00E-05
0.00263,6.00E-04
0.00233,0.00054
0.00063,0.00015
0.00733,0.00169
0.01759,0.00405
0.00137,0.00031
0.02203,0.00507
9.00E-05,2.00E-05
0.01963,0.00452
9.00E-05,2.00E-05
0.00263,6.00E-04
0.00054,0.00012
0.01371,0.00316
0.00233,0.00054
0.00053,0.00012
0.00022,5.00E-05
0.00286,0.00066
0.00053,0.00012
0.02307,0.00531
0.01252,0.00288
0.00263,6.00E-04
0.00505,0.00116
0.00204,0.00047
0.02092,0.00482
0.00525,0.00121
0.00042,1.00E-04
0,0
0.00204,0.00047
0.0016,0.00037
0.00439,0.00101
0.02609,0.00601
0.01902,0.00438
0.02054,0.00473
0.03352,0.00772
0.00087,2.00E-04
0.00321,0.00074
0.00113,0.00026
0.00055,0.00013
0.00233,0.00054
0.00467,0.00107
0.00263,6.00E-04
0.00493,0.00114
0.00263,6.00E-04
0.00349,8.00E-04
0.00535,0.00123
0.00419,0.00096
0.00118,0.00027
0.00057,0.00013
0.00379,0.00087
0.00363,0.00084
0.00062,0.00014
0.00016,4.00E-05
0.02541,0.00585
0.00051,0.00012
0.00181,0.00042
0.00233,0.00054
0.01048,0.00241
0.00263,6.00E-04
0.00525,0.00121
0.00175,4.00E-04
0.00214,0.00049
0.00135,0.00031
0.0017,0.00039
0.00123,0.00028
0.00958,0.00221
0.00104,0.00024
0.00292,0.00067
0.00156,0.00036
0.00036,8.00E-05
0.00313,0.00072
0.02834,0.00652
2.00E-05,0
0.00106,0.00024
0.00175,4.00E-04
0.0016,0.00037
0.00817,0.00188
0.00763,0.00176
0.00762,0.00175
0.00175,4.00E-04
0.00036,8.00E-05
0.00112,0.00026
0.00157,0.00036
0.00175,4.00E-04
0.006,0.00138
0.00123,0.00028
0.00026,6.00E-05
0.00204,0.00047
0.00106,0.00024
0.00388,0.00089
0.00233,0.00054
0.01608,0.0037
0.00453,0.00104
0.00103,0.00024
0.091,0.02095
